timestamp,middleware_hsf_provider_rt,middleware_metaq_send_success_rate,middleware_hsf_provider_biz_pool_usage,middleware_tddl_read_table_rt,middleware_tddl_read_table_success_rate,middleware_tair_read_hit_rate,pod_nginx_rt,middleware_tddl_write_table_success_rate,pod_nginx_qps,middleware_metaq_receive_success_rate,middleware_tair_write_success_rate,middleware_notify_send_qps,middleware_metaq_receive_rt,pod_event_oom,middleware_hsf_consumer_rt,middleware_tddl_write_table_rt,middleware_hsf_consumer_success_rate,middleware_notify_receive_qps,middleware_hsf_online,middleware_tair_write_qps,jvm_gc_fgc_time,middleware_hsf_consumer_qps,middleware_hsf_provider_success_rate,pod_cpu_load_average_1m_util_limit_v2,middleware_notify_receive_rt,middleware_tair_read_qps,middleware_tair_write_rt,middleware_metaq_send_rt,middleware_tair_read_rt,middleware_hsf_provider_qps,middleware_tair_read_success_rate,pod_network_retran_util,middleware_notify_receive_success_rate,jvm_gc_fgc_count,pod_cpu_limit_usage
1747045980000,72.124,0.9999,0.0694,0.9475,1.0,0.0414,1.1743,0.9999,5.0509,0.9819,1.0,0.0,86.8281,0.0,20.0763,2.2856,0.9997,0.0257,1.0,0.0,46.7455,0.045,1.0,0.4007,35.3738,0.1734,1.6,2.5219,0.5454,0.0316,1.0,0.0235,0.9299,0.0364,0.3074
1747046040000,70.8108,1.0,0.0694,0.8462,1.0,0.0411,1.136,0.9999,5.0457,0.9797,1.0,0.0,85.5944,0.0,19.6045,2.3004,0.9996,0.0256,1.0,0.0,14.1091,0.0451,1.0,0.4012,34.4161,0.1704,1.5,2.3882,0.5539,0.031,1.0,0.0231,0.9339,0.0364,0.298
1747046100000,69.3457,1.0,0.0694,0.9087,1.0,0.0406,1.1877,0.9999,5.0375,0.9832,1.0,0.0,78.9488,0.0,19.8339,2.2943,0.9996,0.0261,1.0,0.0,47.1273,0.0441,1.0,0.399,33.2166,0.1674,1.0952,2.464,0.5436,0.0319,1.0,0.0341,0.9329,0.0545,0.2999
1747046160000,71.8614,0.9999,0.0694,0.8041,1.0,0.0431,1.4081,1.0,5.0347,0.9808,1.0,0.0,88.7906,0.0,19.9926,2.3049,0.9996,0.026,1.0,0.0,0.0,0.0475,1.0,0.3773,37.6973,0.1682,1.5926,2.3753,0.5484,0.033,1.0,0.0208,0.9287,0.0,0.287
1747046220000,72.4151,1.0,0.0694,0.9008,1.0,0.0419,1.1198,1.0,5.0227,0.9828,1.0,0.0,78.5521,0.0,19.9888,2.2778,0.9996,0.0261,1.0,0.0,13.1091,0.0459,1.0,0.3906,34.3391,0.1693,1.3571,2.568,0.5426,0.0323,1.0,0.0308,0.9351,0.0182,0.3018
1747046280000,73.1016,1.0,0.0694,1.0498,1.0,0.0418,1.2295,1.0,5.0464,0.9819,1.0,0.0,83.8464,0.0,20.3491,2.2914,0.9997,0.026,1.0,0.0,24.7455,0.0459,1.0,0.3977,34.916,0.1701,0.75,2.5109,0.5491,0.0317,1.0,0.0387,0.9325,0.0364,0.2881
1747046340000,71.1814,1.0,0.0694,0.8573,1.0,0.0418,1.2379,0.9999,5.0473,0.9827,1.0,0.0,82.6592,0.0,19.8282,2.2904,0.9997,0.0261,1.0,0.0,0.3636,0.0461,1.0,0.387,35.1633,0.168,1.5,2.242,0.5479,0.0334,1.0,0.0395,0.9322,0.0,0.296
1747046400000,72.4972,1.0,0.0694,0.9429,1.0,0.042,1.0998,1.0,5.0391,0.9827,1.0,0.0,82.5105,0.0,20.063,2.3133,0.9997,0.0263,1.0,0.0,46.6909,0.0457,1.0,0.3846,34.5059,0.1686,1.9231,2.3724,0.5553,0.031,1.0,0.0252,0.9349,0.0545,0.2914
1747046460000,71.992,1.0,0.0694,0.9333,1.0,0.0421,1.2672,1.0,5.0573,0.9835,1.0,0.0,83.9706,0.0,20.0137,2.2956,0.9998,0.0263,1.0,0.0,28.5273,0.0472,1.0,0.3865,35.7865,0.1679,1.3871,2.4447,0.5572,0.0313,1.0,0.0342,0.9322,0.0364,0.3022
1747046520000,73.541,1.0,0.0694,0.9035,1.0,0.0426,1.1824,1.0,5.0309,0.9808,1.0,0.0,85.3841,0.0,20.466,2.2963,0.9997,0.026,1.0,0.0,10.0545,0.0457,1.0,0.372,37.1287,0.1699,1.2727,2.5405,0.5568,0.0329,1.0,0.0216,0.9297,0.0182,0.2985
